brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Paco Rabanne,Qaed Al Fursan by Lattafa perfume for unisex EDP 3.04 oz New in Box,Eau de Parfum,21.54,96.0,989.0,21303.06,man,24-5-2024,United States,Texas,Dallas
Ralph Lauren,POLO SPORT Ralph Lauren 4.2 oz Cologne for Men EDT New in Box,Eau de Toilette,32.97,756.0,5023.0,165608.31,man,24-5-2024,United States,Texas,Dallas
Ralph Lauren,POLO SPORT FRESH by Ralph Lauren cologne for men EDT 4.2 oz New in Box,Eau de Toilette,23.34,452.0,972.0,22686.48,man,24-5-2024,United States,Texas,Dallas
Dolce & Gabbana,ARTISAN by John Varvatos 4.2 oz edt Men's Cologne New tester,Eau de Toilette,27.94,161.0,485.0,13550.9,man,23-5-2024,United States,Texas,Dallas
Lancôme,AFNAN 9AM DIVE EAU DE PARFUM SPRAY UNISEX 3.4 Oz / 100 Ml,Eau de Parfum,32.5,5.0,372.0,12090.0,man,23-5-2024,United States,New Jersey,Edison
Dolce & Gabbana,NAUTICA BLUE by Nautica 3.4 oz / 100 ml Eau De Toilette Spray NEW & SEALED,Eau de Toilette,14.99,3.0,291.0,4362.09,man,23-5-2024,United States,Michigan,Armada
Giorgio Armani,Giorgio Armani Acqua Di Gio 6.7oz / 200ml Men's Eau de Toilette Spray Brand New,Eau de Toilette,45.95,5.0,578.0,26559.1,man,23-5-2024,United States,Michigan,Kalamazoo
Giorgio Armani,Armani Code Profumo by Giorgio Armani 3.7 fl oz Spray Parfum Men's New & Sealed,Eau de Parfum,68.99,2.0,99.0,6830.01,man,24-5-2024,United States,North Carolina,Charlotte
Dolce & Gabbana,Sauvage Eau De Parfum 3.4 oz / 100 ml EDP Spray For Men New In Seald Box,Eau de Parfum,69.99,56.0,44.0,3079.56,man,23-4-2024,United States,New Jersey,Dayton
Versace,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men US,Eau de Parfum,13.99,10.0,290.0,4057.1,man,21-5-2024,United States,California,San Francisco
Giorgio Armani,TOMMY BOY EST 1985 by Tommy Hilfiger Cologne edt men 3.4 / 3.3 oz NEW in BOX,Eau de Toilette,26.11,4.0,12184.0,318124.24,man,23-5-2024,United States,Texas,Dallas
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,Eau de Parfum,14.99,10.0,172.0,2578.28,man,24-5-2024,United States,New Jersey,Perth Amboy
Dolce & Gabbana,6 For $19.95 MEN(M) WOMEN(W) & UNISEX(U) Body Oil Fragrances 10 ml Roll On Pure,Eau de Parfum,6.65,9.0,18882.0,125565.3,man,21-5-2024,United States,Georgia,LaGrange
Versace,Sauvage Dior Eau De Parfum MINATURE 10ml / 0.34 oz ...,Eau de Parfum,25.99,6.0,1332.0,34618.68,man,24-5-2024,United States,Rhode Island,Cranston
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM 3.3 Fl oz Spray Men's New & Sealed,Eau de Parfum,60.99,2.0,35.0,2134.65,man,24-5-2024,United States,Nevada,Las Vegas
Yves Saint Laurent,Yves Saint Laurent Y Men's Eau De Parfum 3.4 oz/100 ml,Eau de Parfum,47.88,10.0,25.0,1197.0,man,23-5-2024,United States,California,Sacramento
